component_id,nodes_count,component_labels
166134,18,"[
  [protein]
]"
166363,18,"[
  [protein]
]"
166801,18,"[
  [protein]
]"
168030,18,"[
  [protein]
]"
174102,18,"[
  [protein],
  [peptide]
]"
174289,18,"[
  [protein],
  [peptide]
]"
175342,18,"[
  [protein],
  [small_molecule]
]"
184016,18,"[
  [protein],
  [dna]
]"
164229,17,"[
  [protein]
]"
164233,17,"[
  [protein]
]"
164469,17,"[
  [protein]
]"
164576,17,"[
  [protein]
]"
164602,17,"[
  [protein]
]"
165193,17,"[
  [protein]
]"
165928,17,"[
  [protein]
]"
167123,17,"[
  [protein]
]"
167964,17,"[
  [protein]
]"
168010,17,"[
  [protein]
]"
175419,17,"[
  [protein],
  [small_molecule]
]"
176571,17,"[
  [protein]
]"
184159,17,"[
  [protein],
  [dna]
]"
164646,16,"[
  [protein],
  [peptide]
]"
164810,16,"[
  [protein]
]"
164861,16,"[
  [protein]
]"
165032,16,"[
  [protein]
]"
165033,16,"[
  [protein]
]"
165693,16,"[
  [protein]
]"
166099,16,"[
  [protein]
]"
167825,16,"[
  [protein]
]"
168122,16,"[
  [protein]
]"
174332,16,"[
  [protein],
  [peptide]
]"
182534,16,"[
  [rna],
  [small_molecule]
]"
184017,16,"[
  [protein],
  [dna]
]"
25782,16,"[
  [protein],
  [small_molecule]
]"
165769,15,"[
  [protein]
]"
165945,15,"[
  [protein]
]"
167005,15,"[
  [protein],
  [peptide]
]"
167873,15,"[
  [protein]
]"
167967,15,"[
  [protein]
]"
168148,15,"[
  [protein]
]"
168595,15,"[
  [protein],
  [peptide]
]"
174165,15,"[
  [protein],
  [peptide]
]"
176587,15,"[
  [protein]
]"
182517,15,"[
  [rna],
  [small_molecule]
]"
184103,15,"[
  [protein],
  [dna]
]"
189682,15,"[
  [protein],
  [dna]
]"
203179,15,"[
  [protein],
  [small_molecule]
]"
164119,14,"[
  [protein]
]"
164157,14,"[
  [protein]
]"
164198,14,"[
  [protein]
]"
164446,14,"[
  [protein]
]"
166798,14,"[
  [protein]
]"
167296,14,"[
  [protein]
]"
167736,14,"[
  [protein]
]"
167797,14,"[
  [protein]
]"
167815,14,"[
  [protein]
]"
167978,14,"[
  [protein]
]"
168179,14,"[
  [protein]
]"
168238,14,"[
  [protein]
]"
168364,14,"[
  [protein]
]"
169487,14,"[
  [protein]
]"
174108,14,"[
  [protein],
  [peptide]
]"
174319,14,"[
  [protein],
  [peptide]
]"
174411,14,"[
  [protein],
  [peptide]
]"
184426,14,"[
  [protein],
  [dna]
]"
185167,14,"[
  [protein],
  [dna]
]"
187359,14,"[
  [protein],
  [dna]
]"
189777,14,"[
  [protein],
  [dna]
]"
163974,13,"[
  [protein]
]"
165168,13,"[
  [protein]
]"
166486,13,"[
  [protein]
]"
166560,13,"[
  [protein]
]"
167379,13,"[
  [protein]
]"
167817,13,"[
  [protein]
]"
167953,13,"[
  [protein]
]"
168054,13,"[
  [protein]
]"
168150,13,"[
  [protein]
]"
168299,13,"[
  [protein]
]"
168311,13,"[
  [protein]
]"
168994,13,"[
  [protein]
]"
169248,13,"[
  [protein]
]"
